dataset,provider,URL,reference_year,publication_date,download_date,license,geographic_scope,industry_resolution,variables,processing_script,checksum
"CYSTAT SUIOT 0640020E: Use Table at Basic Prices, Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640020E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Use Table at Basic Prices, Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,ad55a3e376dbb2d8a2aa9d8582a9f015930f31ecf061d414f07a219d05d9e225
"CYSTAT SUIOT 0640020E: Use Table at Basic Prices, Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640020E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Use Table at Basic Prices, Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,4048355103ac78ccfa3c9605d30c640015121017455f88e292287ab0b5c1a22b
"CYSTAT SUIOT 0640025E: Use Table for Domestic Output at Basic Prices, Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640025E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Use Table for Domestic Output at Basic Prices, Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,96c8c403ceae9a619a4eb343f3c169179910e35e32c90a820e75f7a342b1cf8e
"CYSTAT SUIOT 0640025E: Use Table for Domestic Output at Basic Prices, Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640025E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Use Table for Domestic Output at Basic Prices, Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,2ba4ddb0b6c7f15a27f375cb1de612924752ed6197eb54a42af194db6f7aedee
"CYSTAT SUIOT 0640030E: Use Table for Imports at Basic Prices, Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640030E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Use Table for Imports at Basic Prices, Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,94a1a691d171aabcb3d5c7eabaa151ea777da9ba1aeec4d5f1407248fcf2ffaa
"CYSTAT SUIOT 0640030E: Use Table for Imports at Basic Prices, Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640030E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Use Table for Imports at Basic Prices, Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,37bef5987b7961fb7fd5f570409debed2e8ef71ab871d30bac7e05e8480c3830
"CYSTAT SUIOT 0640035E: Table of Trade and Transport Margins, Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640035E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Table of Trade and Transport Margins, Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,d5e23a9cde2c699788e8bc9ec677de0eb3a6274c9db6e3f1b5bd94cfb356bece
"CYSTAT SUIOT 0640035E: Table of Trade and Transport Margins, Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640035E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Table of Trade and Transport Margins, Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,c978ee07ee55182412efe55b4f8ef5e9ba1bbb3c154988115ba2de7594c0dbeb
"CYSTAT SUIOT 0640040E: Table of Taxes Less Subsidies on Products, Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640040E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Table of Taxes Less Subsidies on Products, Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,acbccc975ccf137aa281fa99ff19d96d7a0c5bd258464b6d2eb34f696fef0e19
"CYSTAT SUIOT 0640040E: Table of Taxes Less Subsidies on Products, Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640040E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Table of Taxes Less Subsidies on Products, Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,02df52a30994c2e5674fa2329a75e930c6ea97cd981d9b5472f087b9f89ec762
"CYSTAT SUIOT 0640045E: Symmetric Input - Output Table at Basic Prices (Product by Product), Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640045E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Symmetric Input - Output Table at Basic Prices (Product by Product), Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,bc1f40fa3c31e0c9e0b842f3bfb6b01f1b476265d770bf3b16bf4279f89a66c8
"CYSTAT SUIOT 0640045E: Symmetric Input - Output Table at Basic Prices (Product by Product), Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640045E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Symmetric Input - Output Table at Basic Prices (Product by Product), Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,b29be0a35bee2662986dbb31e93c307bb6ec90a1b52d1156b45499f9b5049c9e
"CYSTAT SUIOT 0640050E: Symmetric Input - Output Table for Domestic Production (Product by Product), Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640050E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Symmetric Input - Output Table for Domestic Production (Product by Product), Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,4fec78942952b59321e5ce1930eb25f27fb20c4046b201684c2ae76bb86d0171
"CYSTAT SUIOT 0640050E: Symmetric Input - Output Table for Domestic Production (Product by Product), Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640050E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Symmetric Input - Output Table for Domestic Production (Product by Product), Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,f0b4acde0cd148b028dd419fafe1941d2f6621c19e06a73fb62988faaf920862
"CYSTAT SUIOT 0640055E: Symmetric Input - Output Table for Imports (Product by Product), Annual - Current Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640055E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Symmetric Input - Output Table for Imports (Product by Product), Annual - Current Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,4b321dfcb79fa3fcf2221b8e3d3eaf73609b4e05e68ed4526e2a84b1ebe507ef
"CYSTAT SUIOT 0640055E: Symmetric Input - Output Table for Imports (Product by Product), Annual - Previous Year Prices",CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640055E.px,2010-2022,2026-03-26,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),"Symmetric Input - Output Table for Imports (Product by Product), Annual - Previous Year Prices",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,bc63774ebff1916f0888c3c09251b1a39743908a32c98b1ef7d95f6471f95aa1
"CYSTAT Key Figures: Annual National Accounts: Annual national accounts 1995-2025 (updated data), key-figures workbook",CYSTAT (Statistical Service of Cyprus),https://library.cystat.gov.cy/NEW/NATIONAL_ACCOUNTS-A95_25-EN-200426.xls,1995-2025,2026-04-20,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,"Annual national accounts 1995-2025 (updated data), key-figures workbook",src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,811a7f83bf1d0a3fba408cb087fbf41ae5d0a0fbc39f56bdb9f450153a892484
PxWeb table metadata 0610010E: PxWeb API GET metadata (variable codes/value labels) for 0610010E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610010E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,PxWeb API GET metadata (variable codes/value labels) for 0610010E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,49417f6f86ae01583855ae47a0a5bf7d6aa8f315d301ffc4100552628702b0ec
PxWeb table metadata 0610020E: PxWeb API GET metadata (variable codes/value labels) for 0610020E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610020E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,PxWeb API GET metadata (variable codes/value labels) for 0610020E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,e8c2aa66244fd9925a225857510b0cc1eb2464e44b30fba65f5bdd0cf253068d
PxWeb table metadata 0610030E: PxWeb API GET metadata (variable codes/value labels) for 0610030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610030E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,PxWeb API GET metadata (variable codes/value labels) for 0610030E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,0920d528c367bb597770add2a5fdad41a5f3624c95ea48de70144922ac975ddf
PxWeb table metadata 0610040E: PxWeb API GET metadata (variable codes/value labels) for 0610040E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610040E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,PxWeb API GET metadata (variable codes/value labels) for 0610040E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,26b11f8e5901ef840510b0b33790238795784e517d906d29b7ea6fb6532260f8
PxWeb table metadata 0610060E: PxWeb API GET metadata (variable codes/value labels) for 0610060E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610060E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,PxWeb API GET metadata (variable codes/value labels) for 0610060E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,1691c557a1cd3dd3a2c37d77d62fa15c90e865bee1e6ed8ceacd0197cd7acaaf
PxWeb table metadata 0630030E: PxWeb API GET metadata (variable codes/value labels) for 0630030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Sector%20Accounts/0630030E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),A*64 / sectors,PxWeb API GET metadata (variable codes/value labels) for 0630030E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,a606e24a964f7471abd90972eea402807de3bc160b72fb63e45c81246d337eca
PxWeb table metadata 0640010E: PxWeb API GET metadata (variable codes/value labels) for 0640010E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640010E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640010E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,c2793f6b3b4ce3466a27828c0b5017b34d2a0f98b02853111a679ee53a17fe96
PxWeb table metadata 0640015E: PxWeb API GET metadata (variable codes/value labels) for 0640015E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640015E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640015E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,739bd69e11f6e719f90163360e911f08034d9503e439829d78f4bc2ff699c63e
PxWeb table metadata 0640020E: PxWeb API GET metadata (variable codes/value labels) for 0640020E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640020E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640020E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,ba5ebee2c0132df7c56fe79c98ebdf1ecf9f491205936f71e7899da15b7306a1
PxWeb table metadata 0640025E: PxWeb API GET metadata (variable codes/value labels) for 0640025E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640025E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640025E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,c23de1dbc3857b7a7c7aea75fadd03899526a95622fbee2a683d8e2a43a8f53e
PxWeb table metadata 0640030E: PxWeb API GET metadata (variable codes/value labels) for 0640030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640030E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640030E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,749885be03fd64c59d80b53ca193912f9d8d54749a8e3169d77ffdac21b2edaf
PxWeb table metadata 0640035E: PxWeb API GET metadata (variable codes/value labels) for 0640035E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640035E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640035E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,9441ec55091ca580d286d994dbe21af2837cdd00438fad96349ad3d424811fad
PxWeb table metadata 0640040E: PxWeb API GET metadata (variable codes/value labels) for 0640040E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640040E.px,,,2026-09-24,CYSTAT terms of use - reuse terms NOT verified for this release; raw files are not redistributed (re-downloaded by make ingest),Cyprus (government-controlled area),64 CPA/NACE (A*64 with CYSTAT merges),PxWeb API GET metadata (variable codes/value labels) for 0640040E,src/cvr/ingest/cystat_fetch.py -> src/cvr/ingest/cystat.py,d101289c08a8832d0df7f889f44ff880ea5d7e209225751f3d0d5890858206a0
