stage,component,recipient,eur,status
2 suppliers,Foreign income from Cypriot suppliers (A03),EL,1.7097978552606334e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),ES,4.573533357693051e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),FI,1.4072410331363238e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),FR,2.8144820662726475e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),HU,3.5181025828408094e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),IE,1.0554307748522428e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),IT,4.573533357693051e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),JP,3.5181025828408094e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),LV,3.5181025828408094e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),NL,1.4072410331363238e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),PT,7.036205165681619e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),RU,1.8294133430772205e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),SE,7.036205165681619e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),SK,1.0554307748522428e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),UK,1.4424220589647318e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),US,4.573533357693051e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),WORLD_UNALLOCATED,2.78596935610595e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (A03),ZA,3.5181025828408094e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),AT,4.691229297101311e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),AU,1.340351227743232e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),BE,1.0052634208074237e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),BR,6.70175613871616e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),CA,1.340351227743232e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),CH,8.042107366459391e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),CONFIDENTIAL_PARTNERS,8.234447767640546e-07,illustrative
2 suppliers,Cyprus suppliers' value added (B),CY,0.00022041806367082662,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),CZ,2.680702455486464e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),DE,4.691229297101311e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),DK,1.340351227743232e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),EL,3.2570534834160535e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),ES,8.712282980331006e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),FI,2.680702455486464e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),FR,5.361404910972928e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),HU,6.70175613871616e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),IE,2.0105268416148477e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),IT,8.712282980331006e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),JP,6.70175613871616e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),LV,6.70175613871616e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),NL,2.680702455486464e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),PT,1.340351227743232e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),RU,3.4849131921324025e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),SE,1.340351227743232e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),SK,2.0105268416148477e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),UK,2.747720016873625e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),US,8.712282980331006e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (B),ZA,6.70175613871616e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),AT,7.264379344525641e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),AU,2.075536955578755e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),BE,1.5566527166840658e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),BR,1.0377684777893774e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),CA,2.075536955578755e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),CH,1.2453221733472528e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),CONFIDENTIAL_PARTNERS,2.599334833905845e-05,illustrative
2 suppliers,Cyprus suppliers' value added (C10-12),CY,0.0019245106275212246,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),CZ,4.15107391115751e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),DE,8.613911591807524e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),DK,2.075536955578755e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),EL,5.043554802056374e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),ES,1.3490990211261904e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),FI,4.15107391115751e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),FR,8.30214782231502e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),HU,1.0377684777893774e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),IE,3.113305433368132e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),IT,1.3490990211261904e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),JP,1.0377684777893774e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),LV,1.0377684777893774e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),NL,4.15107391115751e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),OFFSHO,5.6030977806081355e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),PT,2.075536955578755e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),RU,5.396396084504761e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),SE,2.075536955578755e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),SK,3.113305433368132e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),UK,4.2548507589364465e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),US,1.3490990211261904e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),WORLD_UNALLOCATED,5.06492111463486e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C10-12),ZA,1.0377684777893774e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),AT,1.514415953881223e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),AU,4.326902725374924e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),BE,3.245177044031192e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),BR,2.163451362687462e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),CA,4.326902725374924e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),CH,2.596141635224954e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),CONFIDENTIAL_PARTNERS,2.6582326893340843e-06,illustrative
2 suppliers,Cyprus suppliers' value added (C13-15),CY,0.0004408362567624822,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),CZ,8.653805450749848e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),DE,1.514415953881223e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),DK,4.326902725374924e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),EL,1.0514373622661064e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),ES,2.8124867714936997e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),FI,8.653805450749848e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),FR,1.7307610901499697e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),HU,2.163451362687462e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),IE,6.490354088062385e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),IT,2.8124867714936997e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),JP,2.163451362687462e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),LV,2.163451362687462e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),NL,8.653805450749848e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),PT,4.326902725374924e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),RU,1.1249947085974799e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),SE,4.326902725374924e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),SK,6.490354088062385e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),UK,8.870150587018593e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),US,2.8124867714936997e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),WORLD_UNALLOCATED,6.456573127165561e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C13-15),ZA,2.163451362687462e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),AT,2.0977280608607287e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),AU,5.993508745316368e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),BE,4.495131558987275e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),BR,2.996754372658184e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),CA,5.993508745316368e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),CH,3.5961052471898205e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),CONFIDENTIAL_PARTNERS,3.682112097685111e-06,illustrative
2 suppliers,Cyprus suppliers' value added (C16),CY,0.0008215729786632265,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),CZ,1.1987017490632736e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),DE,2.0977280608607287e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),DK,5.993508745316368e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),EL,1.4564226251118773e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),ES,3.895780684455639e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),FI,1.1987017490632736e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),FR,2.3974034981265472e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),HU,2.996754372658184e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),IE,8.990263117974551e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),IT,3.895780684455639e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),JP,2.996754372658184e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),LV,2.996754372658184e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),NL,1.1987017490632736e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),PT,5.993508745316368e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),RU,1.5583122737822556e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),SE,5.993508745316368e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),SK,8.990263117974551e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),UK,1.2286692927898554e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),US,3.895780684455639e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),WORLD_UNALLOCATED,3.0468676665359447e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C16),ZA,2.996754372658184e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),AT,5.6866908193109105e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),AU,1.624768805517403e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),BE,1.2185766041380523e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),BR,8.123844027587015e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),CA,1.624768805517403e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),CH,9.748612833104417e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),CONFIDENTIAL_PARTNERS,9.981767156696167e-06,illustrative
2 suppliers,Cyprus suppliers' value added (C17),CY,0.0012407183078419124,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),CZ,3.249537611034806e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),DE,5.6866908193109105e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),DK,1.624768805517403e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),EL,3.94818819740729e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),ES,1.0560997235863116e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),FI,3.249537611034806e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),FR,6.499075222069612e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),HU,8.123844027587015e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),IE,2.4371532082761043e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),IT,1.0560997235863116e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),JP,8.123844027587015e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),LV,8.123844027587015e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),NL,3.249537611034806e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),PT,1.624768805517403e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),RU,4.2243988943452466e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),SE,1.624768805517403e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),SK,2.4371532082761043e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),UK,3.3307760513106756e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),US,1.0560997235863116e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C17),ZA,8.123844027587015e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),AT,9.61744592243834e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),AU,2.74784169212524e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),BE,2.06088126909393e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),BR,1.37392084606262e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),CA,2.74784169212524e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),CH,1.648705015275144e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),CONFIDENTIAL_PARTNERS,1.6881365435571414e-05,illustrative
2 suppliers,Cyprus suppliers' value added (C18),CY,0.003861632018910084,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),CZ,5.49568338425048e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),DE,9.61744592243834e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),DK,2.74784169212524e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),EL,6.677255311864333e-06,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),ES,1.7860970998814058e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),FI,5.49568338425048e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),FR,1.099136676850096e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),HU,1.37392084606262e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),IE,4.12176253818786e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),IT,1.7860970998814058e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),JP,1.37392084606262e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),LV,1.37392084606262e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),NL,5.49568338425048e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),PT,2.74784169212524e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),RU,7.144388399525623e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),SE,2.74784169212524e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),SK,4.12176253818786e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),UK,5.633075468856741e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),US,1.7860970998814058e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),WORLD_UNALLOCATED,1.559130073986649e-05,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C18),ZA,1.37392084606262e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),AT,3.07827921350267e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),AU,8.795083467150487e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),BE,6.596312600362863e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),BR,4.3975417335752433e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),CA,8.795083467150487e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),CH,5.27705008029029e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),CONFIDENTIAL_PARTNERS,5.403259528043901e-08,illustrative
2 suppliers,Cyprus suppliers' value added (C19),CY,5.8103991024709855e-05,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),CZ,1.7590166934300973e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),DE,3.07827921350267e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),DK,8.795083467150487e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),EL,2.1372052825175677e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),ES,5.716804253647814e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),FI,1.7590166934300973e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),FR,3.5180333868601947e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),HU,4.3975417335752433e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),IE,1.3192625200725725e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),IT,5.716804253647814e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),JP,4.3975417335752433e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),LV,4.3975417335752433e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),NL,1.7590166934300973e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),PT,8.795083467150487e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),RU,2.2867217014591258e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),SE,8.795083467150487e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),SK,1.3192625200725725e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),UK,1.8029921107658494e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),US,5.716804253647814e-10,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),WORLD_UNALLOCATED,5.36462130055253e-07,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C19),ZA,4.3975417335752433e-11,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C20),AT,2.4129518227776414e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C20),AU,6.894148065078976e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C20),BE,5.170611048809231e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C20),BR,3.447074032539488e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C20),CA,6.894148065078976e-09,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C20),CH,4.136488839047385e-08,illustrative
2 suppliers,Foreign income from Cypriot suppliers (C20),CONFIDENTIAL_PARTNERS,3.446561436789735e-05,illustrative
