file,dataset_code,dataset_title,provider,url,filters,download_date,sha256,rows,last_update
data/raw/eurostat/naio_10_cp1620__geo-CY_unit-MIO_EUR.parquet,naio_10_cp1620,Table of trade and transport margins,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp1620/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,3e1f9a1e5862c3fb389c3f61e9f7e60a23ddcf7eac4fe55a2f8c3b06e43f2333,70356,2026-09-17
data/raw/eurostat/naio_10_cp1630__geo-CY_unit-MIO_EUR.parquet,naio_10_cp1630,Table of taxes less subsidies on product,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp1630/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,ad8734439141b9ed9f3971104934ab24f2f45452a4719db7991c21e3844c4b25,70356,2026-09-17
data/raw/eurostat/naio_10_cp1700__geo-CY_unit-MIO_EUR.parquet,naio_10_cp1700,Symmetric input-output table at basic prices (product by product),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_cp1700/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'unit': ['MIO_EUR'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,615808e40056359ec326c70599ab5d8a91266ae97909e3415740bbf3d7707001,235274,2026-08-25
data/raw/eurostat/bop_c6_a__bop_item-CA+D1+D2+D3+D41__D__FLA+D41__O__FLA+D41__P__F3+D42S_2d61ff7a80.parquet,bop_c6_a,Balance of payments by country - annual data (BPM6),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_c6_a/.MIO_EUR.CA+IN1+IN2+D1+D4P__F+D4P__D__F+D4S__D__F5+D42S__D__F5+D43S__D__F5+D4Q__D__FL+D41__D__FLA+D4P__P__F+D4S__P__F5+D42__P__F51+D443__P__F52+D41__P__F3+D4P__O__F+D41__O__FLA+D44P__O__F6+D4P__R__F+D4O+D2+D3+D45.S1.S1.CRE+DEB+BAL..CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'bop_item': ['CA', 'IN1', 'IN2', 'D1', 'D4P__F', 'D4P__D__F', 'D4S__D__F5', 'D42S__D__F5', 'D43S__D__F5', 'D4Q__D__FL', 'D41__D__FLA', 'D4P__P__F', 'D4S__P__F5', 'D42__P__F51', 'D443__P__F52', 'D41__P__F3', 'D4P__O__F', 'D41__O__FLA', 'D44P__O__F6', 'D4P__R__F', 'D4O', 'D2', 'D3', 'D45'], 'currency': ['MIO_EUR'], 'geo': ['CY'], 'sector10': ['S1'], 'sectpart': ['S1'], 'stk_flow': ['CRE', 'DEB', 'BAL'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,e15908f2053046a507f7e52cc5307c0e686152667fc49cde8e3a2307c27ddbb9,25365,2026-07-08
data/raw/eurostat/bop_c6_a__bop_item-CA+D1+D2+D3+D41__D__FLA+D41__O__FLA+D41__P__F3+D42S_e34c7aab8b.parquet,bop_c6_a,Balance of payments by country - annual data (BPM6),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_c6_a/.MIO_EUR.CA+IN1+IN2+D1+D4P__F+D4P__D__F+D4S__D__F5+D42S__D__F5+D43S__D__F5+D4Q__D__FL+D41__D__FLA+D4P__P__F+D4S__P__F5+D42__P__F51+D443__P__F52+D41__P__F3+D4P__O__F+D41__O__FLA+D44P__O__F6+D4P__R__F+D4O+D2+D3+D45...CRE+DEB+BAL.WRL_REST+EU27_2020+EXT_EU27_2020.CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'bop_item': ['CA', 'IN1', 'IN2', 'D1', 'D4P__F', 'D4P__D__F', 'D4S__D__F5', 'D42S__D__F5', 'D43S__D__F5', 'D4Q__D__FL', 'D41__D__FLA', 'D4P__P__F', 'D4S__P__F5', 'D42__P__F51', 'D443__P__F52', 'D41__P__F3', 'D4P__O__F', 'D41__O__FLA', 'D44P__O__F6', 'D4P__R__F', 'D4O', 'D2', 'D3', 'D45'], 'currency': ['MIO_EUR'], 'geo': ['CY'], 'partner': ['WRL_REST', 'EU27_2020', 'EXT_EU27_2020'], 'stk_flow': ['CRE', 'DEB', 'BAL'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,769f2809aca306c837817a9476bd12f0d06bbe2b99e2096b1fbe21e2159a9556,7699,2026-07-08
data/raw/eurostat/bop_rem6__currency-MIO_EUR_geo-CY_t-2010-.parquet,bop_rem6,Personal transfers and compensation of employees,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_rem6/.MIO_EUR....CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,ca8b7cd110fa66fe3fdf5d43b7d1c3effd0f6b07ede9154b8491b23faac3deb0,40664,2025-12-15
data/raw/eurostat/naio_10_fcp_ii4__c_dest-CY.parquet,naio_10_fcp_ii4,"EU inter-country input-output table at basic prices, industry by industry (2022 and onwards)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii4/...CY../?format=SDMX-CSV&compressed=false,"{'c_dest': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,e239127b46f118a1fe39782f0c9f6056ddc8c97ab91beaaed1f8a6a6c7323907,663642,2026-07-20
data/raw/eurostat/bop_fdi6_inc__currency-MIO_EUR_geo-CY_nace_r2-FDI.parquet,bop_fdi6_inc,"EU direct investment income, by country and economic activity (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_inc/.MIO_EUR.FDI.....CY/?format=SDMX-CSV&compressed=false,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'nace_r2': ['FDI'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,a8b6fb50a0688a7d8debb57505ed26ffa101246dbde3647de4d05e16a6326385,80648,2026-06-09
data/raw/eurostat/bop_fdi6_inc__currency-MIO_EUR_geo-CY_partner-EU27_2020+EXT_EU27_2020+WRL_REST.parquet,bop_fdi6_inc,"EU direct investment income, by country and economic activity (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_inc/.MIO_EUR.....WRL_REST+EU27_2020+EXT_EU27_2020.CY/?format=SDMX-CSV&compressed=false,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'partner': ['WRL_REST', 'EU27_2020', 'EXT_EU27_2020'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,970dd162a983621b31c402c62107fb543ab16c18d7b9e994fa8052906ecf882e,9553,2026-06-09
data/raw/eurostat/bop_fdi6_geo__geo-CY.parquet,bop_fdi6_geo,"EU direct investment positions, flows and income, by countries (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_geo/.....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,68ed9194c5b7b5d6e03adf5cfad7dedb2b4593f89f5641591dac2f7f3640c747,20886,2026-06-09
data/raw/eurostat/bop_fdi6_pos__currency-MIO_EUR_geo-CY_nace_r2-FDI.parquet,bop_fdi6_pos,"EU direct investment positions by country, ultimate and immediate counterpart and economic activity (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_pos/..MIO_EUR.FDI.....CY/?format=SDMX-CSV&compressed=false,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'nace_r2': ['FDI'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,31e0e59d7e6bc36463782f01394255a629199f14bee7dad927700554bff27ec6,80564,2026-06-09
data/raw/eurostat/bop_fdi6_pos__currency-MIO_EUR_geo-CY_partner-EU27_2020+EXT_EU27_2020+WRL_REST.parquet,bop_fdi6_pos,"EU direct investment positions by country, ultimate and immediate counterpart and economic activity (BPM6)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_fdi6_pos/..MIO_EUR.....WRL_REST+EU27_2020+EXT_EU27_2020.CY/?format=SDMX-CSV&compressed=false,"{'currency': ['MIO_EUR'], 'geo': ['CY'], 'partner': ['WRL_REST', 'EU27_2020', 'EXT_EU27_2020'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,a37c229b74819893cf913923195751cd6666ffdd08ebf2a774f0be781a772ac6,9678,2026-06-09
data/raw/eurostat/fats_activ__geo-CY.parquet,fats_activ,Foreign controlled EU enterprises by NACE Rev. 2 activity and country of control (from 2021 onwards),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_activ/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,bf63cfca2110fe0851981199f5a3f405b220aba70f0862cb26af1c42aaea5bf1,85220,2026-04-07
data/raw/eurostat/fats_ctrl__geo-CY.parquet,fats_ctrl,Foreign controlled EU enterprises by detailed breakdown of countries of control (from 2021 onwards),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_ctrl/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,2810ec6a6269b43eeb071bd1ffbc83284687740506738ada94cb5d1f37efbfc0,9321,2026-04-07
data/raw/eurostat/naio_10_fcp_ii4__c_orig-CY.parquet,naio_10_fcp_ii4,"EU inter-country input-output table at basic prices, industry by industry (2022 and onwards)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii4/.....CY/?format=SDMX-CSV&compressed=false,"{'c_orig': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,7304de14bd3b798f84315c90cbfb54f17728b535c6fb687bac946d82dad985cb,662400,2026-07-20
data/raw/eurostat/fats_g1a_08__geo-CY.parquet,fats_g1a_08,Foreign control of enterprises by economic activity and a selection of controlling countries (2008-2020),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_g1a_08/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,0a83063ca2c32e6bc73ec3bdbcfa10923bb062a14d1a8f97a9be222047fe48b3,897796,2023-11-03
data/raw/eurostat/fats_g1b_08__geo-CY.parquet,fats_g1b_08,Foreign control of enterprises by controlling countries (2008-2020),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/fats_g1b_08/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,b1c9a095c18e37c8ac79fc776e71367d52eac0a532471f81a1cd921fc21a75d2,41748,2023-11-03
data/raw/eurostat/lfst_r_lfe2ecomm__geo-CY.parquet,lfst_r_lfe2ecomm,Employed persons commuting to work by country of work and NUTS 2 region,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/lfst_r_lfe2ecomm/.....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,228efa09e87355cdacec96ce683ac291ef8bbbd277e669689754587e2b5d0cf1,243,2026-09-10
data/raw/eurostat/naio_10_fgfd__geo-CY.parquet,naio_10_fgfd,Foreign value added in domestic final use by industry of origin (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgfd/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,b179e8de4b6b883870b95743929bcc15d89966c8d352b1499b47cf612e461537,60060,2026-07-20
data/raw/eurostat/naio_10_fgdf__geo-CY.parquet,naio_10_fgdf,Domestic value added in foreign final use by industry of origin (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgdf/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,cf62e2983ab5219cfd35223bdde67e7602afa266f324e8cac5c5f171638163ef,60840,2026-07-20
data/raw/eurostat/naio_10_fgdm__geo-CY.parquet,naio_10_fgdm,Domestic value added in exports - EU country perspective (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgdm/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,2ca1fcfce41672ac6e7439436890463518adbd9282b6897c87744089ca66f4ef,60060,2026-07-20
data/raw/eurostat/naio_10_fgfoem__geo-CY.parquet,naio_10_fgfoem,Foreign value added in exports by country of origin and exporting country - EU country perspective (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgfoem/.....CY/?format=SDMX-CSV&compressed=false&startPeriod=2010&endPeriod=2017 | https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgfoem/.....CY/?format=SDMX-CSV&compressed=false&startPeriod=2018&endPeriod=2024,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,8f8bc6596395954960f83b126b95735eab7f5b36fd87a11f450e9485d5e8070f,178620,2026-07-20
data/raw/eurostat/naio_10_fgti__geo-CY.parquet,naio_10_fgti,Imports by industry (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgti/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,05e776228448c3d2c831a3762501ceb0aad868d1541cc5e80be786101d694c85,60045,2026-07-20
data/raw/eurostat/naio_10_fgte__geo-CY.parquet,naio_10_fgte,Exports by industry (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fgte/....CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,a8f97821c37487af6e6bc0f4970890da15086a49723313670a6c773a70a55e88,60045,2026-07-20
data/raw/eurostat/naio_10_fggvcm__geo-CY.parquet,naio_10_fggvcm,Global value chain participation - EU country perspective (FIGARO application),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fggvcm/...CY/?format=SDMX-CSV&compressed=false,"{'geo': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,a50f81d8ebb881c63a835280052a2f9b536922155ea7570547f4e4610632de10,45,2026-07-20
data/raw/eurostat/naio_10_fcp_ii3__c_dest-CY.parquet,naio_10_fcp_ii3,"EU inter-country input-output table at basic prices, industry by industry (2018-2021)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii3/...CY../?format=SDMX-CSV&compressed=false,"{'c_dest': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,99595b77affea111d42a1f71869e1008a2066117f66f620a67be7c2bc56a2359,884856,2026-07-18
data/raw/eurostat/naio_10_fcp_ii3__c_orig-CY.parquet,naio_10_fcp_ii3,"EU inter-country input-output table at basic prices, industry by industry (2018-2021)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii3/.....CY/?format=SDMX-CSV&compressed=false,"{'c_orig': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,2a41554cca1f4ceeb4734cca4398d88b9b9465fb4a3e1999c5f7b4e753c9fbeb,883200,2026-07-18
data/raw/eurostat/naio_10_fcp_ii2__c_dest-CY.parquet,naio_10_fcp_ii2,"EU inter-country input-output table at basic prices, industry by industry (2014-2017)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii2/...CY../?format=SDMX-CSV&compressed=false,"{'c_dest': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,cb29c8b5830c065bc9b08bda02901dcf1a9f3c7d496a820d0c1f689743bcdb81,884856,2026-07-18
data/raw/eurostat/naio_10_fcp_ii2__c_orig-CY.parquet,naio_10_fcp_ii2,"EU inter-country input-output table at basic prices, industry by industry (2014-2017)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii2/.....CY/?format=SDMX-CSV&compressed=false,"{'c_orig': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,b0b6de7c88d91cfe0f379030f923af2247082228647afcba53615b06c24bfc6d,883200,2026-07-18
data/raw/eurostat/naio_10_fcp_ii1__c_dest-CY.parquet,naio_10_fcp_ii1,"EU inter-country input-output table at basic prices, industry by industry (2010-2013)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii1/...CY../?format=SDMX-CSV&compressed=false,"{'c_dest': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,c0129c15bff90f02cac97af3b6d799c879894abede121abd97625605e7dd4778,884856,2026-07-18
data/raw/eurostat/naio_10_fcp_ii1__c_orig-CY.parquet,naio_10_fcp_ii1,"EU inter-country input-output table at basic prices, industry by industry (2010-2013)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii1/.....CY/?format=SDMX-CSV&compressed=false,"{'c_orig': ['CY'], 'startPeriod': None, 'endPeriod': None}",2026-09-24,1555ee4b05125e692e40dcfa07e738f590b640bc5ad3c243cef050dc1ebb11b9,883200,2026-07-18
data/raw/eurostat/bop_eu6_q__bop_item-CA+D1+D2+D3+D41__D__FLA+D41__O__FLA+D41__P__F3+D42S_b7fac73b5e.parquet,bop_eu6_q,European Union and euro area balance of payments - quarterly data (BPM6),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_eu6_q/A.MIO_EUR.CA+IN1+IN2+D1+D4P__F+D4P__D__F+D4S__D__F5+D42S__D__F5+D43S__D__F5+D4Q__D__FL+D41__D__FLA+D4P__P__F+D4S__P__F5+D42__P__F51+D443__P__F52+D41__P__F3+D4P__O__F+D41__O__FLA+D44P__O__F6+D4P__R__F+D4O+D2+D3+D45.S1.S1.NSA.CRE+DEB+BAL..EU27_2020/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'bop_item': ['CA', 'IN1', 'IN2', 'D1', 'D4P__F', 'D4P__D__F', 'D4S__D__F5', 'D42S__D__F5', 'D43S__D__F5', 'D4Q__D__FL', 'D41__D__FLA', 'D4P__P__F', 'D4S__P__F5', 'D42__P__F51', 'D443__P__F52', 'D41__P__F3', 'D4P__O__F', 'D41__O__FLA', 'D44P__O__F6', 'D4P__R__F', 'D4O', 'D2', 'D3', 'D45'], 'currency': ['MIO_EUR'], 'freq': ['A'], 'geo': ['EU27_2020'], 's_adj': ['NSA'], 'sector10': ['S1'], 'sectpart': ['S1'], 'stk_flow': ['CRE', 'DEB', 'BAL'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,dd837e465160caf5bdaf997eec4da3dffea068939182aa19d6298d7f4ad46fea,8958,2026-08-19
data/raw/eurostat/lfsa_egan__age-Y15-64+Y20-64+Y_GE15_geo-CY_sex-T_t-2010-.parquet,lfsa_egan,Employed persons by citizenship,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/lfsa_egan/..T.Y15-64+Y20-64+Y_GE15..CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,"{'age': ['Y15-64', 'Y20-64', 'Y_GE15'], 'geo': ['CY'], 'sex': ['T'], 'startPeriod': 2010, 'endPeriod': None}",2026-09-24,39f0d3ae2849b7690b48dc28c0da54fedcb11ce5687c4ca11bece90b367b178c,240,2026-09-10
data/raw/eurostat/figaro/matrix_eu-ic-io_ind-by-ind_26ed_2024.parquet,FIGARO_ind-by-ind_matrix,"FIGARO EU inter-country IO table, ind-by-ind, 2024 (CIRCABC file matrix_eu-ic-io_ind-by-ind_26ed_2024.csv)",Eurostat,https://circabc.europa.eu/rest/download/8ac7da34-911e-4a91-ab1c-8aec1a574381,"{'year': 2024, 'source_csv_sha256': 'eade04c433606ae2142eacc2662e1e6cbf0591105e52f3534503847863702f8f', 'source_bytes': 49467405}",2026-09-24,9e2ffc912f3fb05c52a84c439e8bb4f9fdf4311ae7cdb8d5928aa09d75d4b813,3206,2026-06-29
