file,dataset,provider,url,reference_year,publication_date,download_date,sha256,description,format_notes
0640020E_CP.xlsx,CYSTAT SUIOT 0640020E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640020E.px,2010-2022,2026-03-26,2026-09-24,ad55a3e376dbb2d8a2aa9d8582a9f015930f31ecf061d414f07a219d05d9e225,"Use Table at Basic Prices, Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640020E_PYP.xlsx,CYSTAT SUIOT 0640020E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640020E.px,2010-2022,2026-03-26,2026-09-24,4048355103ac78ccfa3c9605d30c640015121017455f88e292287ab0b5c1a22b,"Use Table at Basic Prices, Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
0640025E_CP.xlsx,CYSTAT SUIOT 0640025E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640025E.px,2010-2022,2026-03-26,2026-09-24,96c8c403ceae9a619a4eb343f3c169179910e35e32c90a820e75f7a342b1cf8e,"Use Table for Domestic Output at Basic Prices, Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640025E_PYP.xlsx,CYSTAT SUIOT 0640025E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640025E.px,2010-2022,2026-03-26,2026-09-24,2ba4ddb0b6c7f15a27f375cb1de612924752ed6197eb54a42af194db6f7aedee,"Use Table for Domestic Output at Basic Prices, Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
0640030E_CP.xlsx,CYSTAT SUIOT 0640030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640030E.px,2010-2022,2026-03-26,2026-09-24,94a1a691d171aabcb3d5c7eabaa151ea777da9ba1aeec4d5f1407248fcf2ffaa,"Use Table for Imports at Basic Prices, Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640030E_PYP.xlsx,CYSTAT SUIOT 0640030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640030E.px,2010-2022,2026-03-26,2026-09-24,37bef5987b7961fb7fd5f570409debed2e8ef71ab871d30bac7e05e8480c3830,"Use Table for Imports at Basic Prices, Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
0640035E_CP.xlsx,CYSTAT SUIOT 0640035E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640035E.px,2010-2022,2026-03-26,2026-09-24,d5e23a9cde2c699788e8bc9ec677de0eb3a6274c9db6e3f1b5bd94cfb356bece,"Table of Trade and Transport Margins, Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640035E_PYP.xlsx,CYSTAT SUIOT 0640035E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640035E.px,2010-2022,2026-03-26,2026-09-24,c978ee07ee55182412efe55b4f8ef5e9ba1bbb3c154988115ba2de7594c0dbeb,"Table of Trade and Transport Margins, Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
0640040E_CP.xlsx,CYSTAT SUIOT 0640040E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640040E.px,2010-2022,2026-03-26,2026-09-24,acbccc975ccf137aa281fa99ff19d96d7a0c5bd258464b6d2eb34f696fef0e19,"Table of Taxes Less Subsidies on Products, Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640040E_PYP.xlsx,CYSTAT SUIOT 0640040E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640040E.px,2010-2022,2026-03-26,2026-09-24,02df52a30994c2e5674fa2329a75e930c6ea97cd981d9b5472f087b9f89ec762,"Table of Taxes Less Subsidies on Products, Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
0640045E_CP.xlsx,CYSTAT SUIOT 0640045E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640045E.px,2010-2022,2026-03-26,2026-09-24,bc1f40fa3c31e0c9e0b842f3bfb6b01f1b476265d770bf3b16bf4279f89a66c8,"Symmetric Input - Output Table at Basic Prices (Product by Product), Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640045E_PYP.xlsx,CYSTAT SUIOT 0640045E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640045E.px,2010-2022,2026-03-26,2026-09-24,b29be0a35bee2662986dbb31e93c307bb6ec90a1b52d1156b45499f9b5049c9e,"Symmetric Input - Output Table at Basic Prices (Product by Product), Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
0640050E_CP.xlsx,CYSTAT SUIOT 0640050E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640050E.px,2010-2022,2026-03-26,2026-09-24,4fec78942952b59321e5ce1930eb25f27fb20c4046b201684c2ae76bb86d0171,"Symmetric Input - Output Table for Domestic Production (Product by Product), Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640050E_PYP.xlsx,CYSTAT SUIOT 0640050E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640050E.px,2010-2022,2026-03-26,2026-09-24,f0b4acde0cd148b028dd419fafe1941d2f6621c19e06a73fb62988faaf920862,"Symmetric Input - Output Table for Domestic Production (Product by Product), Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
0640055E_CP.xlsx,CYSTAT SUIOT 0640055E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640055E.px,2010-2022,2026-03-26,2026-09-24,4b321dfcb79fa3fcf2221b8e3d3eaf73609b4e05e68ed4526e2a84b1ebe507ef,"Symmetric Input - Output Table for Imports (Product by Product), Annual - Current Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md"
0640055E_PYP.xlsx,CYSTAT SUIOT 0640055E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640055E.px,2010-2022,2026-03-26,2026-09-24,bc63774ebff1916f0888c3c09251b1a39743908a32c98b1ef7d95f6471f95aa1,"Symmetric Input - Output Table for Imports (Product by Product), Annual - Previous Year Prices","PxWeb API POST (all values, one MEASURE) -> xlsx; one sheet, 13 stacked year blocks 2010-2022; Million EUR; symbols c=confidential, N.A.=not applicable, ...=not available; see STRUCTURE.md; PYP values are '...' for 2010-2014 (only 2015-2022 populated)"
NATIONAL_ACCOUNTS-A95_25-EN-200426.xls,CYSTAT Key Figures: Annual National Accounts,CYSTAT (Statistical Service of Cyprus),https://library.cystat.gov.cy/NEW/NATIONAL_ACCOUNTS-A95_25-EN-200426.xls,1995-2025,2026-04-20,2026-09-24,811a7f83bf1d0a3fba408cb087fbf41ae5d0a0fbc39f56bdb9f450153a892484,"Annual national accounts 1995-2025 (updated data), key-figures workbook","Legacy .xls (BIFF); sheets: Main Variables, Production Approach, Expenditure Approach, Income Approach; 2024-2025 provisional; not parsed in STRUCTURE.md (PxWeb 0610xxx tables carry same vintage)"
pxweb_meta/0610010E.json,PxWeb table metadata 0610010E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610010E.px,,,2026-09-24,49417f6f86ae01583855ae47a0a5bf7d6aa8f315d301ffc4100552628702b0ec,PxWeb API GET metadata (variable codes/value labels) for 0610010E,JSON; value codes are positional indices
pxweb_meta/0610020E.json,PxWeb table metadata 0610020E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610020E.px,,,2026-09-24,e8c2aa66244fd9925a225857510b0cc1eb2464e44b30fba65f5bdd0cf253068d,PxWeb API GET metadata (variable codes/value labels) for 0610020E,JSON; value codes are positional indices
pxweb_meta/0610030E.json,PxWeb table metadata 0610030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610030E.px,,,2026-09-24,0920d528c367bb597770add2a5fdad41a5f3624c95ea48de70144922ac975ddf,PxWeb API GET metadata (variable codes/value labels) for 0610030E,JSON; value codes are positional indices
pxweb_meta/0610040E.json,PxWeb table metadata 0610040E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610040E.px,,,2026-09-24,26b11f8e5901ef840510b0b33790238795784e517d906d29b7ea6fb6532260f8,PxWeb API GET metadata (variable codes/value labels) for 0610040E,JSON; value codes are positional indices
pxweb_meta/0610060E.json,PxWeb table metadata 0610060E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610060E.px,,,2026-09-24,1691c557a1cd3dd3a2c37d77d62fa15c90e865bee1e6ed8ceacd0197cd7acaaf,PxWeb API GET metadata (variable codes/value labels) for 0610060E,JSON; value codes are positional indices
pxweb_meta/0630030E.json,PxWeb table metadata 0630030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Sector%20Accounts/0630030E.px,,,2026-09-24,a606e24a964f7471abd90972eea402807de3bc160b72fb63e45c81246d337eca,PxWeb API GET metadata (variable codes/value labels) for 0630030E,JSON; value codes are positional indices
pxweb_meta/0640010E.json,PxWeb table metadata 0640010E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640010E.px,,,2026-09-24,c2793f6b3b4ce3466a27828c0b5017b34d2a0f98b02853111a679ee53a17fe96,PxWeb API GET metadata (variable codes/value labels) for 0640010E,JSON; value codes are positional indices
pxweb_meta/0640015E.json,PxWeb table metadata 0640015E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640015E.px,,,2026-09-24,739bd69e11f6e719f90163360e911f08034d9503e439829d78f4bc2ff699c63e,PxWeb API GET metadata (variable codes/value labels) for 0640015E,JSON; value codes are positional indices
pxweb_meta/0640020E.json,PxWeb table metadata 0640020E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640020E.px,,,2026-09-24,ba5ebee2c0132df7c56fe79c98ebdf1ecf9f491205936f71e7899da15b7306a1,PxWeb API GET metadata (variable codes/value labels) for 0640020E,JSON; value codes are positional indices
pxweb_meta/0640025E.json,PxWeb table metadata 0640025E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640025E.px,,,2026-09-24,c23de1dbc3857b7a7c7aea75fadd03899526a95622fbee2a683d8e2a43a8f53e,PxWeb API GET metadata (variable codes/value labels) for 0640025E,JSON; value codes are positional indices
pxweb_meta/0640030E.json,PxWeb table metadata 0640030E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640030E.px,,,2026-09-24,749885be03fd64c59d80b53ca193912f9d8d54749a8e3169d77ffdac21b2edaf,PxWeb API GET metadata (variable codes/value labels) for 0640030E,JSON; value codes are positional indices
pxweb_meta/0640035E.json,PxWeb table metadata 0640035E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640035E.px,,,2026-09-24,9441ec55091ca580d286d994dbe21af2837cdd00438fad96349ad3d424811fad,PxWeb API GET metadata (variable codes/value labels) for 0640035E,JSON; value codes are positional indices
pxweb_meta/0640040E.json,PxWeb table metadata 0640040E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640040E.px,,,2026-09-24,d101289c08a8832d0df7f889f44ff880ea5d7e209225751f3d0d5890858206a0,PxWeb API GET metadata (variable codes/value labels) for 0640040E,JSON; value codes are positional indices
pxweb_meta/0640045E.json,PxWeb table metadata 0640045E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640045E.px,,,2026-09-24,5789ff34ae3e6391094128f16c2a14565b93b10edfd68610b2454c8af0447ec7,PxWeb API GET metadata (variable codes/value labels) for 0640045E,JSON; value codes are positional indices
pxweb_meta/0640050E.json,PxWeb table metadata 0640050E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640050E.px,,,2026-09-24,7f81c2bf4bd88ce8eca58c5ef3de33543e7f5bcd9b0afe6ee94d4d6d25834841,PxWeb API GET metadata (variable codes/value labels) for 0640050E,JSON; value codes are positional indices
pxweb_meta/0640055E.json,PxWeb table metadata 0640055E,CYSTAT (Statistical Service of Cyprus),https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Supply%2C%20Use%20and%20Input-Output%20Tables/0640055E.px,,,2026-09-24,ddd4a55a717bd6161dfd1e28327d5c47e80cf48e2c2f5aa037e76ef829275549,PxWeb API GET metadata (variable codes/value labels) for 0640055E,JSON; value codes are positional indices
